Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
2020/01/01,00:00,1.136,-,1.205
2020/01/01,01:00,0.869,-,0.926
2020/01/01,02:00,0.585,-,0.631
2020/01/01,03:00,0.344,-,0.38
2020/01/01,04:00,0.2,-,0.244
2020/01/01,05:00,0.181,-,0.264
2020/01/01,06:00,0.29,-,0.375
2020/01/01,07:00,0.506,-,0.604
2020/01/01,08:00,0.785,-,0.741
2020/01/01,09:00,1.069,-,1.055
2020/01/01,10:00,1.303,-,1.326
2020/01/01,11:00,1.448,-,1.446
2020/01/01,12:00,1.488,-,1.513
2020/01/01,13:00,1.429,-,1.501
2020/01/01,14:00,1.302,-,1.274
2020/01/01,15:00,1.152,-,1.15
2020/01/01,16:00,1.025,-,1.054
2020/01/01,17:00,0.951,-,1.034
2020/01/01,18:00,0.946,-,1.004
2020/01/01,19:00,1.007,-,1.069
2020/01/01,20:00,1.11,-,1.126
2020/01/01,21:00,1.216,-,1.312
2020/01/01,22:00,1.285,-,1.32
2020/01/01,23:00,1.284,-,1.276
2020/01/02,00:00,1.199,-,1.275
2020/01/02,01:00,1.033,-,1.038
2020/01/02,02:00,0.815,-,0.9
2020/01/02,03:00,0.593,-,0.585
2020/01/02,04:00,0.418,-,0.467
2020/01/02,05:00,0.328,-,0.303
2020/01/02,06:00,0.346,-,0.291
2020/01/02,07:00,0.475,-,0.461
2020/01/02,08:00,0.692,-,0.696
2020/01/02,09:00,0.953,-,0.928
2020/01/02,10:00,1.206,-,1.237
2020/01/02,11:00,1.404,-,1.402
2020/01/02,12:00,1.513,-,1.55
2020/01/02,13:00,1.516,-,1.481
2020/01/02,14:00,1.425,-,1.395
2020/01/02,15:00,1.273,-,1.272
2020/01/02,16:00,1.102,-,1.106
2020/01/02,17:00,0.953,-,0.958
2020/01/02,18:00,0.856,-,0.956
2020/01/02,19:00,0.829,-,0.8
2020/01/02,20:00,0.873,-,0.862
2020/01/02,21:00,0.962,-,0.938
2020/01/02,22:00,1.062,-,1.045
2020/01/02,23:00,1.137,-,1.125
2020/01/03,00:00,1.156,-,1.139
2020/01/03,01:00,1.102,-,1.071
2020/01/03,02:00,0.978,-,0.93
2020/01/03,03:00,0.812,-,0.752
2020/01/03,04:00,0.646,-,0.59
2020/01/03,05:00,0.519,-,0.508
2020/01/03,06:00,0.467,-,0.438
2020/01/03,07:00,0.512,-,0.455
2020/01/03,08:00,0.655,-,0.644
2020/01/03,09:00,0.869,-,0.821
2020/01/03,10:00,1.114,-,1.094
2020/01/03,11:00,1.343,-,1.336
2020/01/03,12:00,1.509,-,1.511
2020/01/03,13:00,1.578,-,1.564
2020/01/03,14:00,1.54,-,1.56
2020/01/03,15:00,1.411,-,1.394
2020/01/03,16:00,1.223,-,1.249
2020/01/03,17:00,1.016,-,1.048
2020/01/03,18:00,0.834,-,0.872
2020/01/03,19:00,0.712,-,0.753
2020/01/03,20:00,0.672,-,0.707
2020/01/03,21:00,0.71,-,0.742
2020/01/03,22:00,0.803,-,0.834
2020/01/03,23:00,0.921,-,0.921
2020/01/04,00:00,1.023,-,1.01
2020/01/04,01:00,1.074,-,1.064
2020/01/04,02:00,1.056,-,1.034
2020/01/04,03:00,0.974,-,0.949
2020/01/04,04:00,0.853,-,0.753
2020/01/04,05:00,0.725,-,0.677
2020/01/04,06:00,0.63,-,0.593
2020/01/04,07:00,0.605,-,0.589
2020/01/04,08:00,0.67,-,0.655
2020/01/04,09:00,0.823,-,0.741
2020/01/04,10:00,1.037,-,1.04
2020/01/04,11:00,1.272,-,1.283
2020/01/04,12:00,1.48,-,1.499
2020/01/04,13:00,1.611,-,1.603
2020/01/04,14:00,1.637,-,1.674
2020/01/04,15:00,1.552,-,1.557
2020/01/04,16:00,1.374,-,1.409
2020/01/04,17:00,1.136,-,1.115
2020/01/04,18:00,0.883,-,0.901
2020/01/04,19:00,0.668,-,0.676
2020/01/04,20:00,0.53,-,0.553
2020/01/04,21:00,0.489,-,0.436
2020/01/04,22:00,0.541,-,0.517
2020/01/04,23:00,0.663,-,0.663
2020/01/05,00:00,0.817,-,0.761
2020/01/05,01:00,0.957,-,0.892
2020/01/05,02:00,1.044,-,0.994
2020/01/05,03:00,1.063,-,0.958
2020/01/05,04:00,1.015,-,0.931
2020/01/05,05:00,0.92,-,0.824
2020/01/05,06:00,0.812,-,0.707
2020/01/05,07:00,0.736,-,0.626
2020/01/05,08:00,0.731,-,0.609
2020/01/05,09:00,0.814,-,0.694
2020/01/05,10:00,0.978,-,0.834
2020/01/05,11:00,1.198,-,1.052
2020/01/05,12:00,1.428,-,1.337
2020/01/05,13:00,1.613,-,1.484
2020/01/05,14:00,1.706,-,1.633
2020/01/05,15:00,1.684,-,1.57
2020/01/05,16:00,1.542,-,1.451
2020/01/05,17:00,1.301,-,1.203
2020/01/05,18:00,1.003,-,0.924
2020/01/05,19:00,0.705,-,0.613
2020/01/05,20:00,0.466,-,0.375
2020/01/05,21:00,0.325,-,0.228
2020/01/05,22:00,0.303,-,0.207
2020/01/05,23:00,0.393,-,0.293
2020/01/06,00:00,0.563,-,0.441
2020/01/06,01:00,0.765,-,0.671
2020/01/06,02:00,0.946,-,0.796
2020/01/06,03:00,1.069,-,0.947
2020/01/06,04:00,1.114,-,0.947
2020/01/06,05:00,1.08,-,0.928
2020/01/06,06:00,0.991,-,0.826
2020/01/06,07:00,0.891,-,0.73
2020/01/06,08:00,0.828,-,0.658
2020/01/06,09:00,0.838,-,0.618
2020/01/06,10:00,0.939,-,0.761
2020/01/06,11:00,1.123,-,0.979
2020/01/06,12:00,1.354,-,1.188
2020/01/06,13:00,1.578,-,1.459
2020/01/06,14:00,1.738,-,1.594
2020/01/06,15:00,1.79,-,1.684
2020/01/06,16:00,1.71,-,1.61
2020/01/06,17:00,1.499,-,1.428
2020/01/06,18:00,1.186,-,1.129
2020/01/06,19:00,0.829,-,0.772
2020/01/06,20:00,0.495,-,0.418
2020/01/06,21:00,0.244,-,0.146
2020/01/06,22:00,0.12,-,0.055
2020/01/06,23:00,0.14,-,0.086
2020/01/07,00:00,0.287,-,0.21
2020/01/07,01:00,0.516,-,0.457
2020/01/07,02:00,0.768,-,0.71
2020/01/07,03:00,0.989,-,0.896
2020/01/07,04:00,1.137,-,1.036
2020/01/07,05:00,1.187,-,1.068
2020/01/07,06:00,1.147,-,1.057
2020/01/07,07:00,1.051,-,0.958
2020/01/07,08:00,0.95,-,0.849
2020/01/07,09:00,0.895,-,0.796
2020/01/07,10:00,0.923,-,0.842
2020/01/07,11:00,1.051,-,0.973
2020/01/07,12:00,1.26,-,1.189
2020/01/07,13:00,1.504,-,1.474
2020/01/07,14:00,1.721,-,1.672
2020/01/07,15:00,1.854,-,1.813
